Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Submit App,Chrome 71.0.3578.98,,2019-01-28 11:38:11,2019-01-28 11:39:38,1m - 27.762s,PASSED
,,,,,,
Test Cases/Submit Application,Chrome 71.0.3578.98,,2019-01-28 11:38:11,2019-01-28 11:39:37,1m - 26.200s,PASSED
"openBrowser(""https://iddtrain.georgiacollaborative.com/IDDPortal/"")",Chrome 71.0.3578.98,,2019-01-28 11:38:13,2019-01-28 11:38:50,37.116s,PASSED
"navigateToUrl(""https://iddtrain.georgiacollaborative.com/IDDPortal/"")",Chrome 71.0.3578.98,,2019-01-28 11:38:50,2019-01-28 11:38:50,0.016s,NOT_RUN
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-28 11:38:50,2019-01-28 11:38:52,1.181s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/input__username""), ""Test123"")",Chrome 71.0.3578.98,,2019-01-28 11:38:52,2019-01-28 11:38:52,0.602s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/input__password""), ""Password123"")",Chrome 71.0.3578.98,,2019-01-28 11:38:52,2019-01-28 11:38:53,0.313s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-01-28 11:38:53,2019-01-28 11:38:53,0.009s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/button_Login""))",Chrome 71.0.3578.98,,2019-01-28 11:38:53,2019-01-28 11:38:53,0.293s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-28 11:38:53,2019-01-28 11:38:53,0.008s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/2_Page_Welcome/b_Submit a New Application""))",Chrome 71.0.3578.98,,2019-01-28 11:38:53,2019-01-28 11:38:54,1.031s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-28 11:38:54,2019-01-28 11:38:54,0.006s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/3_Page_TermsAndConditions/div_httpsgadbhdd.policystat.co""))",Chrome 71.0.3578.98,,2019-01-28 11:38:54,2019-01-28 11:38:54,0.568s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/3_Page_TermsAndConditions/button_Proceed with online app""))",Chrome 71.0.3578.98,,2019-01-28 11:38:54,2019-01-28 11:38:56,1.994s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-28 11:38:56,2019-01-28 11:38:56,0.005s,NOT_RUN
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__fName""), ""FirstName"")",Chrome 71.0.3578.98,Start of General Page,2019-01-28 11:38:56,2019-01-28 11:38:58,1.295s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__lName""), ""LastName"")",Chrome 71.0.3578.98,,2019-01-28 11:38:58,2019-01-28 11:38:58,0.599s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__dob""), ""01/01/1990"")",Chrome 71.0.3578.98,,2019-01-28 11:38:58,2019-01-28 11:38:59,1.165s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_Gender""))",Chrome 71.0.3578.98,,2019-01-28 11:38:59,2019-01-28 11:39:00,0.335s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-28 11:39:00,2019-01-28 11:39:00,0.005s,NOT_RUN
